	Вопрос #2	Вопрос #3	Ответ
Есть ли тьюторское сопровождение?	Что значит тьюторское сопровождение?	Тьютор - это классный руководитель?	Тьютор (наставник) помогает ребёнку адаптироваться к домашнему обучению, планировать время, организовать рабочее место, ставить цели. На стандартном тарифе общение в чате, на оптимальном - групповые занятия, на премиум - индивидуальные.
Есть ли скидки?	Какие есть скидки?		При оплате за год - скидка 10%. Действующим ученикам школы скидка 50% на курсы подготовки к ОГЭ/ЕГЭ. На первый месяц обучения также могут действовать акционные цены.
Какие технические требования для обучения?	Что нужно для обучения?	Какие программы нужны для обучения?	Нужен стабильный интернет и любое устройство: компьютер, ноутбук, планшет или телефон. Платформа работает через браузер, ничего скачивать не нужно. Рекомендуется заниматься с компьютера или ноутбука.
Нужны ли камера и микрофон ученику?			Нет, ученику не нужны камера и микрофон. Общение с преподавателем идёт через чат. Микрофон используется только в премиум-тарифе на мини-группах.
Когда начинаются уроки?	Со скольки уроки?		Уроки начинаются с 10:00 по московскому времени. График гибкий, если пропустил - можно посмотреть запись.
Есть ли каникулы?	Когда каникулы у детей?		Да, полный набор каникул: неделя после каждой аттестации плюс все праздничные дни (новогодние 2 недели). Учебный год заканчивается раньше - в мае только аттестация и подготовка к ней.
Можно ли перейти в школу в середине года?	Еще идёт набор?	Можно сейчас поступить?	Да, можно. Оценки за предыдущие четверти/триместры можно зачесть. Если есть несданные предметы, нужно будет их пересдать на платформе.
Что делать, если ребёнок не понял тему?	К кому можно обратиться если ребенок не понял тему?		Ребёнок может задать вопрос преподавателю на уроке в чате, пересмотреть запись урока, обратиться к материалам (конспекты, презентации), задать вопрос на следующем уроке или тьютору.
Есть ли общение между учениками?	Есть чат класса?	Дети могут общаться друг с другом?	Да, есть сообщество учеников - чат, где дети общаются и знакомятся. Там же анонсируются мероприятия (очные и онлайн), которые проводятся минимум 2 раза в месяц.
Можно ли сдать ОГЭ в своей школе по месту жительства?	Можно у себя сдать экзамены?		Да, можно. После 8 класса получить справку от Цифриум и в 9 классе прикрепиться к любой школе по месту жительства для сдачи ОГЭ. Школа не может отказать, это право ребёнка. Если вы прикрепляетесь к нашей школе в 9 классе, то и ОГЭ нужно будет сдавать в школе-партнере в г. Красногорск. Прикрепиться к нашей школе, а сдать ОГЭ в своей школе в 9 классе нельзя.
Сколько предметов сдаётся на ОГЭ?	Можно сдать два предмета на ОГЭ?		Сдаётся 4 предмета: 2 обязательных (русский язык и математика) и 2 по выбору ученика.
Есть ли подготовка к ОГЭ?	К экзаменам готовите?		Да, в 9 классе программа направлена на подготовку к ОГЭ, домашние задания имеют формат экзаменационных заданий. Также можно отдельно приобрести годовые курсы подготовки к ОГЭ со скидкой 50% для учеников школы.
Что такое индивидуальные образовательные маршруты?	Что значит ИОМ?		Это углублённое изучение предметов в мини-группах (3-4 человека) в премиум-тарифе. Преподаватель выстраивает программу под цели ученика: подготовка к ОГЭ/ЕГЭ, олимпиады, подтягивание пробелов.
Можно ли поменять тариф в процессе обучения?	Можно ли повысить или понизить тариф?		Да, можно перейти на более расширенный тариф в любой момент.
Как организованы необязательные предметы?	Как проходит физкультура, изо, музыка?		Необязательные предметы (музыка, ИЗО, технология, физкультура) изучаются в альтернативном формате: материалы на платформе, ученик пишет реферат или отправляет фото/видеоотчёт.
Что происходит во время аттестации с уроками?	Идут ли уроки во время аттестации?		Во время недели аттестации онлайн-уроки не проводятся, чтобы ученик мог сосредоточиться на контрольных и не отвлекаться на новые темы.
Как связаться со школой?	Как с Вами связаться?		Можно написать в WhatsApp, позвонить или написать на почту. Рабочее время: с 9:00 до 18:00 по московскому времени.
Можно ли остаться в своей школе и учиться в Цифриум?	Можно ли не открепляться от своей школы?		Да, можно остаться на семейной форме, учиться в Цифриум, а аттестацию сдавать в своей школе по месту жительства по их графику.
Есть ли родительские собрания?	Проводятся ли родительские собрания?		Да, родительские собрания проводятся на стандартном, оптимальном и премиум тарифах. Также в оптимальном и премиум тарифах есть сообщество для родителей, где можно задать вопросы тьютору.
Что такое тьюторский чат?	Есть ли чат с тьютором?		Это чат, где ученики общаются с тьютором (наставником), задают вопросы по организации обучения, получают поддержку и мотивацию.
Есть ли пробный доступ к платформе?	Можно попробовать бесплатно?		Да, можно получить бесплатный пробный доступ на неделю. За это время можно посмотреть записи уроков, поприсутствовать на онлайн-уроках и оценить, подходит ли школа.
Как подписываются документы?	Как подписать договор?		Все документы со школой "Цифриум" подписываются в электронном формате через сервис по средством СМС-кода (электронная подпись). Документы на прикрепление к школе-партнёру подписываются в ручную. 
Сколько действует лицензия школы?	У Вас есть лицензия?		У онлайн-школы Цифриум есть лицензия на образовательную деятельность. Школа-партнёр имеет государственную аккредитацию и лицензию.
Сколько лет школа работает?	Сколько лет вы обучаете?		Компания работает в сфере образования 15 лет. Сама онлайн-школа для 5-9 классов открылась год назад (9 класс впервые в этом году).
Что если ребёнок не сдаст пробные экзамены?			Главное сдать хотя бы один пробный экзамен минимум на тройку. Если не сдать, школа может не допустить к основным экзаменам ОГЭ.
Можно ли отказаться от обучения, если не подойдёт?	Можно ли вернуться в обычную школу или перейти в другую, если передумаем?		Да, такие случаи бывают. Если в 8 классе поймёте, что не подходит, можно вернуться в обычную школу или попробовать другой формат. Для 9 класса лучше определиться заранее из-за экзаменов.
Как подать заявление на семейную форму обучения?			Нужно обратиться в Департамент образования по месту жительства, написать заявление о переходе на семейную форму, получить уведомление и предоставить его в школу при заборе личного дела.
Что делать, если возникают ошибки в тестах на платформе?			Нужно обратиться в техническую поддержку через чат на платформе. Они проверят ситуацию и исправят ошибки, если они связаны с работой системы.
Есть ли налоговый вычет за обучение?	Можно ли получить налоговый вычет за ваше обучение?		Да, так как у школы есть лицензия, можно получить налоговый вычет 13% от суммы оплаты обучения.
Нужно ли сдавать все предметы на аттестации?			На аттестации нужно сдавать только обязательные предметы (русский, математика, биология, физика, история и т.д.) в тестовом формате. Необязательные сдаются через реферат или отчёт.
Что если ребёнок не сдаст аттестацию?	Что если ребенок завалил аттестацию?		В случае, если ребёнок не сдаёт промежуточную аттестацию по одному или нескольким предметам, у него есть возможность одной пересдачи по каждому несданному предмету. В случае повторной не сдачи, закрытие возникшей задолженности рассматривается в индивидуальном порядке.
Сколько раз нужно приехать на экзамены?			В 9 классе в школу нужно будет приехать на пробные экзамены (2 - 6 марта), итоговое собеседование (11 февраля) и потом на сами экзамены в зависимости от того, сколько предметов вы сдаёте.
Школа-партнёр для сдачи экзаменов ОГЭ	Где ученики сдают ОГЭ?		Школа-партнёр находится в Московской области, город Красногорск. Для учеников 9 класса нужно будет приезжать на пробные экзамены (2 раза), итоговое собеседование и сами экзамены ОГЭ.
Сколько уроков в день?	Какая нагрузка в день?		В среднем 3-4 урока в день по 45 минут каждый, зависит от класса, с 15-минутными перерывами между ними.
Способы оплаты	Как можно оплачивать?		Ежемесячно напрямую школе, либо сразу за год со скидкой 10%, рассрочка через сервис Долями, материнский капитал.
Выдаётся ли аттестат государственного образца?	Вы даете аттестат?		Да, по окончании 9 класса школа-партнёр выдаёт аттестат государственного образца. В нём не указывается форма обучения (очная, заочная, семейная).
Как долго оформляется прикрепление?	Как долго прикрепляете к школе?		На семейной форме к школе Суханово - 2-3 дня. На заочной форме к школе Спутник - около месяца.
Рассрочка	Можно ли оплатить в рассрочку?		Да, доступна рассрочка через сервис Долями.
Скидки многодетным	Есть ли скидки для многодетных?		При предоставлении удостоверение/свидетельства о многодетности скидка - 10%
Документы для прикрепления на семейную форму?	Какиеи документы для поступления?		"Для зачисления ребенка в школу потребуются следующие документы:
 - Копия свидетельства о рождении и паспорта (старше 14 лет, 1 и 2 разворот) будущего ученика;
 - Копия паспорта одного из родителей (законного представителя), выступающего стороной договора (1 и 2 разворот)
 - Адрес проживания (если отличается от адреса прописки)
 - СНИЛС (родителя и ребенка).
 - Если ребёнок младше 14 лет, так же необходима копия документа о регистрации обучающегося 
 по месту жительства или по месту пребывания (форма 8 и форма 3)
 
 - Номер телефона и электронная почта ребёнка
 - Личное дело
 - Заявление на переход на семейную форму обучения, отправленное в отдел образования по месту жительства (в паре с уведомлением)
  
 Фото или сканы документов можете направить в чат или на почту homeschool_docs@цифриум.рф . Проверьте перед отправкой, что фото не обрезаны и данные читабельны.
 После получения документов, мы заполним и отправим вам договор об образовании, заявления и согласие на обработку персональных данных, а также счет на оплату."
Документы для прикрепления на заочную форму			"Для зачисления ребенка в школу потребуются следующие документы:
 - Копия свидетельства о рождении и паспорта (старше 14 лет) будущего ученика;
 - Копия паспорта одного из родителей (законного представителя), выступающего стороной договора (1 и 2 разворот)
 - Адрес проживания (если отличается от адреса прописки)
 - СНИЛС (родителя и ребенка).
 Для заочной формы обучения, если ребёнок младше 14 лет, так же необходима копия документа о регистрации обучающегося 
 по месту жительства или по месту пребывания (форма 8 и форма 3)
 
 - Номер телефона и электронная почта ребёнка (для регистрации в системе ""Моя школа"")
 - Личное дело ребёнка
  
 Фото или сканы документов можете направить в чат или на почту homeschool_docs@цифриум.рф . Проверьте перед отправкой, что фото не обрезаны и данные читабельны.
 После получения документов, мы заполним и отправим вам договор об образовании, заявления и согласие на обработку персональных данных, а также счет на оплату."
Демо-доступ			"Ссылка для регистрации на платформе:
https://homeschool.cifrium.ru/invite/f8SJY5
При регистрации вводите данные ребёнка(ФИО, номер телефона, почта и т.д.)
После регистрации, для постоянного входа можно будет использовать ссылку: https://homeschool.cifrium.ru/
Логин - почта указанная при регистрации
Пароль - пароль указанный при регистрации
Так же направляю инструкции:
https://homeschool.cifrium.ru/reg/reg - как зарегистрироваться
https://homeschool.cifrium.ru/reg/authorization - как войти в ЛК"
Для каких классов предназначена школа "Цифриум"?			Школа "Цифриум" работает с учениками 4-9 классов.
Обучение идет по школьной программе?			Да, программа нашей школы выстроена полностью на основе ФГОС и ФРП для каждого класса по основной общеобразовательной программе.
Получит ли ребенок аттестат государственного образца?			Да, после успешной сдачи экзаменов ребенок получает аттестат государственного образца.
Целесообразно ли переводить ребенка на онлайн формат в середине года?			Да, вполне, если вы уже над этим задумываетесь. Сам переход по времени не долгий.
Как устроено расписание занятий?			Гибкое расписание — онлайн-занятия с учителем начинаются с 9:00-10:00 мск в будние дни. В день в среднем проходит 3-4 урока по 45 минут.
Будут ли доступны записи уроков?			Да, все записи и конспекты уроков доступны на платформе.
Как проверяются домашние задания?			По каждой теме есть домашние задания с автопроверкой (более 27 видов задач). На тарифах "Оптимальный" и "Премиум" также проводится ручная проверка от преподавателя 2 раза в год по каждому предмету с комментариями.
Можно ли начать учиться на зимних каникулах?			Да, но во время зимних каникул не будет живых уроков, поэтому можно будет смотреть только записи.
Когда у вас каникулы?			Обучение триместровое. Ребенок отдыхает неделю после каждой аттестации и в праздничные дни. При успешной сдаче итоговой аттестации можно освободиться уже в середине мая.
Есть ли входные тесты при поступлении?			Нет входных тестов, достаточно предоставить оценки за прошлый год.
Сколько раз в год проходят аттестации?			Ученики сдают 3 аттестации в год (2 промежуточные и итоговую).
Как проходят аттестации?			Аттестации проходят в онлайн-формате без прокторинга, т.е. за учеником не наблюдают через камеру. Мы сознательно отказались от прокторинга, потому что это создает лишний стресс для ребенка.
Сколько времени дается на выполнение аттестации?			60 минут — рекомендуемое время выполнения. Ребенок сразу увидит результаты.
Когда можно сдавать аттестацию?			Ученик выполняет работу в течение аттестационной недели в любой удобный день.
Что если ребенок не сдал аттестацию?			Если набрано менее 40 баллов, доступна пересдача.
К какой школе прикрепляют учеников?			Мы прикрепляем к нашей школе-партнеру ОАНО "Школа Спутник", которая находится в МО, г. Красногорск на заочную форму обучения или гимназия "Суханово" на семейную форму. 
Нужно ли приезжать в школу-партнер?			До 9 класса приезжать не нужно, все аттестации проходят онлайн. Для 9 класса нужно будет приехать на пробные экзамены, итоговое собеседование и на ОГЭ.
Ваша школа общеобразовательная?			Наша школа оказывает услуги по дополнительному образованию (есть лицензия на дополнительное образование). У школы-партнера "Спутник" есть лицензия и аккредитация на основное образование.
Где сдавать ОГЭ?			Школа-партнер находится в МО, г. Красногорск. Нужно будет приехать на пробные экзамены (дважды), итоговое собеседование и на сами экзамены. Либо вы можете сдавать экзамены в своей школе по месту жительства, обучаясь у нас без прикрепления.
Будет ли написано в аттестате, что ребенок проходил курс школы онлайн?			Нет, в аттестате не указывается форма обучения.
Можно ли сдавать ОГЭ только по двум предметам вместо четырех?			Да, можно, в случае если вы не планируете идти в 10-й класс. 
Как проходят пробные экзамены?			Пробные экзамены проводятся две сессии - в декабре и в марте. Сдаются по всем предметам (русский, математика и два по выбору). Пробные экзамены проходят в 4 дня.
Можно ли сдать итоговое собеседование дистанционно?			Нет, в нашей школе итоговое собеседование проходит на общих основаниях при личном присутствии, дистанционно сдать нельзя.
За экзамены и аттестацию нужно доплачивать отдельно?			Нет, за экзамены и аттестацию вы отдельно не доплачиваете.
Как можно оплачивать обучение?			Можно оплачивать помесячно, сразу за год или со средств материснкого капитала. 
Есть ли рассрочка на обучение?			Появилась возможность оплаты в рассрочку через сервис "Долями".
Есть ли скидки для многодетных семей?			Да, есть скидка 10% для многодетных семей на годовую или помесячную оплату при предъявлении подтверждающего документа.
Какие документы нужны для зачисления на заочную форму?			"- Копия паспорта родителя (1 и 2 разворот)
- Копия свидетельства о рождении/паспорта ребенка (1 и 2 разворот)
- СНИЛС родителя и ребенка
- Если ребенок младше 14 лет: копия документа о регистрации (форма 8 и форма 3)
- Адрес проживания (если отличается от прописки)
- Номер телефона и электронная почта ребенка
- Личное дело ребенка"
Какие документы нужны для зачисления на семейную форму?			Все те же документы, что и для заочной, плюс заявление на переход на семейную форму обучения полученое в отделе образования
Куда отправлять документы?			Можно направить в чат WhatsApp или на почту homeschool_docs@цифриум.рф
Нужно ли отправлять оригинал личного дела?			Да, сначала можно прислать фотографии для оформления, но потом нужно будет отправить оригинал почтой для прикрепления к школе-партнеру.
Сколько готовятся документы на прикрепление?			Документы на прикрепление к школе-партнеру готовятся в течение 3-4 недель с момента подписания договора.
Какие формы прикрепления доступны?			Две формы: семейная и заочная.
Какие формы обучения доступны?			Занятия по урокам в записи и онлайн с преподавателем. 
В чем разница между семейной и заочной формой?			На семейной форме нужно перейти на семейное обучение через отдел образования, отчислиться из текущей школы. На заочной форме - нужно сделать фото личного дела в школе и направить нам, после оформления подписать документы и отправить почтой с личным делом.
Можно ли остаться прикрепленным к своей школе?			Да, вы можете остаться прикрепленными к своей школе, но нужно будет перейти на семейное обучение и согласовать с ними сдачу аттестаций.
Можно ли на заочной форме не ходить в отдел образования?			Да, на заочной форме не нужно идти в отдел образования, нужно просто сделать фото страниц личного дела в школе и отправить нам.
Что входит в тьюторское сопровождение?			На тарифе "Стандартный": поддержка в чате, база материалов для эффективного обучения, родительские собрания. На тарифе "Оптимальный" добавляются групповые занятия с тьютором. На тарифе "Премиум" добавляются индивидуальные занятия с тьютором. 
Кто такой тьютор?			Тьютор — это наставник для ребенка, который помогает ему перейти на домашнее обучение, понять как лучше воспринимать информацию, планировать время. В дальнейшем тьютор ставит цели вместе с учеником. Это не классный руководитель — тьютор больше помогает по психологическим вопросам, развивает ответственность, самостоятельность.
Сколько детей в классе?			В классе около 30-35 детей.
Когда можно начать обучение?			После оплаты открывается полный доступ к платформе, и можно сразу начинать заниматься.
С какого момента можно начать учиться, если документы еще оформляются?			Ребенок может приступить к обучению после оплаты, а прикрепление производится в течение месяца.
Как получить пробный доступ?			Можно зарегистрироваться на платформе по ссылке, которую предоставит менеджер, и получить бесплатную неделю доступа.
Нужны ли учебники?			Учебники мы не предоставляем, но есть все необходимые материалы на платформе.
Как зарегистрироваться на платформе?			Нужно перейти по ссылке для регистрации, ввести данные ребенка (ФИО, номер телефона, почту и т.д.). После регистрации для входа используется почта как логин и пароль, указанный при регистрации.
Можно ли зарегистрировать двух учеников?			Да, нужно пройти регистрацию на разных почтах для каждого ребенка.
Можно ли изменить почту в личном кабинете?			Да, для этого нужно обратиться в поддержку на сайте (красный спасательный круг) или в телеграм-бот.
Есть ли кабинет родителя?			Общий личный кабинет с ребенком - вы можете войти под логином и паролем ребенка со своего устройства.
Может ли ребенок участвовать в олимпиадах?			Да, после прикрепления к школе вас заносят в систему "Моя школа", через которую можно регистрироваться на прохождение олимпиад.
Куда обращаться с вопросами по платформе?			По вопросам платформы, расписания и организационных вопросов можно обратиться в техническую поддержку сайта (красный спасательный круг) или в телеграм-бот: https://t.me/helpcifrium_bot
В какое время работают менеджеры?			Менеджеры работают в будние дни с 9:00 до 18:00 по московскому времени.
Что нужно сделать для перехода из обычной школы?			"1. Собрать необходимые документы
2. Для семейной формы: подать заявление в отдел образования, получить справку об отчислении
3. Подписать согласие на обработку персональных данных
4. Подписать договор и оплатить обучение
5. Отправить документы и личное дело
6. Начать обучение на платформе"
Можно ли начать обучение с третьей четверти?			Да, можно начать обучение с любой четверти, в том числе с третьей (с января).
Как проверяются домашние задания?			По каждой теме есть домашние задания с автопроверкой (более 27 видов задач). На тарифах "Оптимальный" и "Премиум" также проводится ручная проверка от преподавателя 2 раза в год по каждому предмету с комментариями.
Можно ли сдавать аттестацию в своей школе?			Да, вы можете обучаться у нас без прикрепления, а аттестацию и экзамены сдавать в школе по месту жительства. Обратите внимание: если вы прикрепляетесь к школе «Спутник» в 9 классе, то ОГЭ нужно будет сдавать именно в «Спутнике».
